Logging to: /var/log/fortiva/fortiva-3.5-default-tools.log
Executing STATUS for 59 archive writers...
AW,AW Status,Total,Used,Avail,% Used,Index Size,Msg Count,Queued batches,Queue status,GP Customers,LH Customers,Unregistered Customers,Start date,Capped date,Age,Store flags (Visible; Writable; Recycled; Trashed; Unregistered),Blob replication,Blob LTS,Index replication,Index LTS,Structure Replication,Structure LTS,Lookup replication,Lookup LTS
10.104.40.1,READY,916GB,380GB,536GB,41.5%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.104.40.100,READY,916GB,382GB,533GB,41.8%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.104.40.101,READY,916GB,380GB,536GB,41.5%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.104.40.104,READONLY,916GB,119GB,797GB,13.0%,7GB,526047,0,Disabled,0,0,1,2017-12-22,2017-12-24,16,VwrtU,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.104.40.105,READONLY,916GB,128GB,788GB,14.0%,8GB,581020,0,Disabled,0,0,1,2017-12-22,2017-12-24,16,VwrtU,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.104.40.106,READONLY,916GB,138GB,778GB,15.1%,9GB,649837,0,Disabled,0,0,1,2017-12-22,2017-12-24,16,VwrtU,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.104.40.107,READONLY,916GB,138GB,778GB,15.1%,9GB,653537,0,Disabled,0,0,1,2017-12-22,2017-12-24,16,VwrtU,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.104.40.110,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.104.40.111,WRITABLE,916GB,1GB,915GB,0.2%,0GB,6390,0,Enabled,1,0,0,2018-1-4,2018-1-4,3,VWrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,N/A,
10.104.40.112,READY,916GB,382GB,534GB,41.7%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
