Logging to: /var/log/fortiva/fortiva-3.5-default-tools.log
Executing STATUS for 22 archive writers...
AW,AW Status,Total,Used,Avail,% Used,Index Size,Msg Count,Queued batches,Queue status,GP Customers,LH Customers,Unregistered Customers,Start date,Capped date,Age,Store flags (Visible; Writable; Recycled; Trashed; Unregistered),Blob replication,Blob LTS,Index replication,Index LTS,Structure Replication,Structure LTS,Lookup replication,Lookup LTS
10.130.61.40,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.41,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.42,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.43,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.44,READONLY,916GB,388GB,528GB,42.4%,62GB,3963112,0,Disabled,1,0,0,2017-9-26,2017-9-29,42,Vwrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.130.61.45,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.50,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.51,READONLY,916GB,532GB,384GB,58.1%,86GB,5463925,0,Disabled,1,0,0,2017-9-27,2017-10-2,41,Vwrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.130.61.52,READONLY,916GB,529GB,387GB,57.8%,85GB,5445742,0,Disabled,1,0,0,2017-9-27,2017-10-2,41,Vwrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.130.61.53,READONLY,916GB,288GB,627GB,31.5%,50GB,3067230,0,Disabled,1,0,0,2017-9-28,2017-10-2,40,Vwrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.130.61.54,READONLY,916GB,291GB,625GB,31.8%,51GB,3108665,0,Disabled,1,0,0,2017-9-28,2017-10-2,40,Vwrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.130.61.55,READONLY,916GB,293GB,623GB,32.0%,50GB,3081692,0,Disabled,1,0,0,2017-9-28,2017-10-2,40,Vwrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,
10.130.61.56,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.57,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.58,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.59,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.60,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.61,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.62,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.63,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.64,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.130.61.65,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
