Executing STATUS for 73 archive writers...
AW,AW Status,Total,Used,Avail,% Used,Index Size,Msg Count,Queued batches,Queue status,GP Customers,LH Customers,Unregistered Customers,Start date,Capped date,Age,Store flags (Visible; Writable; Recycled; Trashed; Unregistered),Blob replication,Blob LTS,Index replication,Index LTS,Structure Replication,Structure LTS,Lookup replication,Lookup LTS
10.104.40.1,READY,916GB,0GB,916GB,0.0%,0GB,0,0,Enabled,0,0,0,(none),(none),N/A,vwrtu,N/A,,N/A,,N/A,,N/A,
10.104.40.100,READONLY,916GB,51GB,865GB,5.6%,4GB,262055,0,Enabled,0,0,1,2018-11-6,2018-11-8,44,Vwrtu,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,1S/0R/0P/0.0%,,N/A,
10.104.40.101,READONLY,916GB,1GB,915GB,0.1%,0GB,10220,0,Enabled,0,0,1,2018-12-4,2018-12-4,16,Vwrtu,1S/2R/2P/100.0%,10.102.21.247;10.8.21.247,1S/2R/2P/100.0%,10.8.27.180;10.102.27.180,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,N/A,
10.104.40.104,READONLY,916GB,202GB,713GB,22.1%,16GB,1241741,0,Enabled,0,0,1,2018-11-30,2018-12-3,20,Vwrtu,1S/2R/2P/100.0%,10.102.21.247;10.8.21.247,1S/2R/2P/100.0%,10.8.27.180;10.102.27.180,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,1S/0R/0P/0.0%,
10.104.40.105,READONLY,916GB,201GB,715GB,22.0%,16GB,1233659,0,Enabled,0,0,1,2018-11-30,2018-12-3,20,Vwrtu,1S/2R/2P/100.0%,10.102.21.247;10.8.21.247,1S/2R/2P/100.0%,10.8.27.180;10.102.27.180,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,1S/0R/0P/0.0%,
10.104.40.106,READONLY,916GB,271GB,645GB,29.6%,28GB,3566161,0,Disabled,0,0,1,2018-12-4,2018-12-17,16,Vwrtu,1S/2R/2P/100.0%,10.102.21.247;10.8.21.247,1S/2R/2P/100.0%,10.8.27.180;10.102.27.180,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,N/A,
10.104.40.107,READONLY,916GB,258GB,658GB,28.2%,27GB,3416771,0,Disabled,0,0,1,2018-12-4,2018-12-17,16,Vwrtu,1S/2R/2P/100.0%,10.102.21.247;10.8.21.247,1S/2R/2P/100.0%,10.8.27.180;10.102.27.180,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,N/A,
10.104.40.110,READONLY,916GB,498GB,418GB,54.4%,61GB,4076699,0,Disabled,0,0,1,2018-12-4,2018-12-8,16,Vwrtu,1S/2R/2P/100.0%,10.8.21.246;10.102.21.246,1S/2R/2P/100.0%,10.102.27.174;10.8.27.174,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,N/A,
10.104.40.111,READONLY,916GB,506GB,410GB,55.2%,62GB,4164003,0,Disabled,0,0,1,2018-12-4,2018-12-8,16,Vwrtu,1S/2R/2P/100.0%,10.8.21.246;10.102.21.246,1S/2R/2P/100.0%,10.102.27.173;10.8.27.173,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,N/A,
10.104.40.112,READONLY,916GB,508GB,408GB,55.4%,61GB,4037103,0,Disabled,0,0,1,2018-12-4,2018-12-10,16,Vwrtu,1S/2R/2P/100.0%,10.8.21.246;10.102.21.246,1S/2R/2P/100.0%,10.102.27.173;10.8.27.173,1S/3R/3P/100.0%,10.102.66.253;10.102.65.253;10.8.65.253,N/A,
